Data Product,DPID,Measurement,Collection methodology,Images,Image legend,Maintenance and calibration,"Download contents - file list to be populated dynamically by portal. For this section, review current table descriptions.",Data processing and derivation,Data quality,Standard calculations,Table joining,More information,DP citation,"DPUG review comments - for OS data products, provide input on current DPUG here.","Data accessibility/documentation comments - for all data products, provide feedback on accessibility, clarity, any general data use issues.",
Soil temperature,DP1.00041.001,,"Soil temperature is measured using a platinum resistance thermometer in all five sensor-based soil plots. Nominal installation depths include 2, 6, 16, and 26 cm (±1 cm) with deeper depths determined on a site- and soil plot-specific basis. Measurements represent a point, are made at 0.1 Hz (10 seconds) and data are published in 1- and 30-minute averaging intervals.
",,Sensor-based soil plot at D08 LENO. Not all measurements are made in every soil plot. ,Sensors are calibrated prior to permanent installation. No additional calibrations are performed. Preventative maintenance is limited to aboveground components and typically performed every 2 weeks.,"NEON.DOC.000927vA is not included in the download,
NEON.DOC.001113vA is included in the download.",N/A,"Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (soilTempExpUncert), which comprises known and quantifiable uncertainties.","Sensor depth (zOffset; m) and the latitude, longitude (referenceLatitude, referenceLongitude; °), and elevation (m) of the soil plot reference corner are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name (horizontalPosition and verticalPosition if stacked using neonUtilities) to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR indices 001-005 correspond to soil plots 1-5, and VER indices 501-509 increase with increasing depth.",N/A,[Document list; to be populated dynamically],To be auto-generated,,,
"Periphyton, seston, phytoplankton collection",DP1.20166.001,"Identification, counts, and biomass of microalgae from benthic and water column collections per sample, per volume (cells L-1 and ash-free dry mass g L-1), and per benthic area (cells m-2 and ash-free dry mass g m-2)","Samples are collected at 24 wadeable stream sites, 7 lake sites, and 3 river sites. Samples are collected three times per year, roughly spring, summer, and fall. Benthic samples are collected by scrubbing substrata found in the dominant or subdominant habitat types and adding a known volume of rinsewater. Seston collection in wadeable streams is a simple grab in a 1L container. Phytoplankton are collected in lakes and rivers using a Kemmerer or Van Dorn sampler. Samples are subsampled, preserved, and sent to an external facility for identification.",See DP1.20166.001 tables tab,,N/A,,N/A,"10% of algal taxonomy samples are quality checked by the taxonomist, indicated in qcTaxonomyStatus. Percent similarity (PSc) must be >85% and percent difference in enumeration (PDE) <5% to pass the minimum quality objectives, else data are reconciled.","Step 1: Convert to algal cells per L and correct for preservative volume when algalParameterUnit = countPerBottle (cells/L)
Step 2: Correct for benthicArea using calculation from Step 1 (cells/m2)

NEON suggests using algalParameter = 'cell density' for the calculations
 above. See DPUG for detailed descriptions of algalParameters.

samplingImpractical records in the fieldData table indicate instances
where samples could not be collected due to environmental conditions.",See DP1.20166.001 tables tab,[Document list; to be populated dynamically],To be auto-generated,,,
Ecosystem structure (CHM),DP3.30015.001,"This data product contains one GeoTIFF raster, the Canopy Height Model, which has 1 m pixels whose value is the height of the top of the vegetation canopy above the ground immediately below it. Missing pixels are assigned a value of -9999. All AOP L3 data, including CHM, are distributed in 1 km by 1 km tiles which include the Easting and Northing coordinates (in that order) of their southwest corner in their file names.","NEON AOP instruments, including the full waveform LiDAR, are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. Data are acquired at a minimum density of 4 LiDAR shots per square meter in non-overlap areas. NEON AOP LiDAR returns are full waveforms, from which up to 5 points per shot may be discretized. All AOP data are acquired in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"The NEON AOP LiDAR is calibrated every winter between flight seasons. Calibration/validation flights for horizontal, vertical, and timing accuracy are conducted at the beginning and end of every flight season. Nominal runway flights are conducted in each domain flown during the flight season to ensure there is no accuracy drift. Field validation exercises collecting GPS points are typically conducted once per flight season.",,Raw discrete LiDAR data are processed to projected and corrected L1 LAZ point clouds in their original flight lines. First (highest elevation) LiDAR returns are gridded to 1 m pixels to create a digital surface model (DSM). Last (lowest elevation) returns are gridded to 1 m pixels to create a bare earth digital elevation model (DEM). Triangulation and interpolation are used to fill any gaps in DEM data if the LiDAR was unable to reach the ground. A raw canopy height model is created by subtracting the DEM from the DSM and preserving the values greater than 2 m in height (minimum detectable tree height). The finished CHM is created by filling any missed canopy-top pixels (“pits”).,"A quality report for each flight used in producing the data product, describing weather conditions and other data quality considerations during flight, is available for download via the L1 AOP LiDAR products. The L1 AOP LiDAR products also include uncertainty point clouds in LAZ format and processing quality report PDFs.",,N/A,[Document list; to be populated dynamically],To be auto-generated,,,
Elevation of surface water,DP1.20016.001,Surface water elevation in meters (m) above sea level defined by WGS84.,"Elevation of surface water is measured using vented pressure transducers at upstream and downstream sensor sets at wadeable stream sites, on infrastructure near buoys at river sites, and littoral sensor sets at lake sites. Measurements spatially represent a point and are made at 0.0167 Hz (1 per minute). Data are published as five- and thiry-minute averages.",,Surface water pressure transducer in housing mounted to staff gage.,Sensors are calibrated prior to installation at field sites and recalibrated on an annual basis. Water level sensors are only removed from their measurement location for maintenance on an as-needed basis to ensure data quality.,,Pressure measurements and the reference elevation of the sensor are used to calculate water surface elevation.  5-minute and 30-minute averages are then calculated.     ,"Each measurement is accompanied by a final quality flag (sWatElevFinalQF, sWatElevFinalQFSciRvw, etc.). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flags are based on automated QA/QC tests, including range, step, and signal despiking tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (surfacewaterElevExpUncert), which comprises known and quantifiable uncertainties.","Latitude, longitude (referenceLatitude, referenceLongitude; °), elevation (referenceElevation; m), and sensor position relative to the reference elevation of the water level sensor (zOffset; m) are in the sensor positions file (...sensor_positions...csv).
 Use the HOR.VER component of the time series file name to link to the corresponding row in the HOR.VER column of the sensor positions file. An HOR of101 or 131 correspond to Sensor Set 1 (upstream) and an HOR of 102 or 132 correspond to Sensor Set 2 (downstream).  An HOR of 110 indicates sensors mounted on a staff gage.  HORs of 130 and 140 correspond to littoral zones, 150 to inflow and 160 to outflow of lakes.",NA,,,,"""Description"" and ""Abstract"" sections in readme imply one-minute instantaneous data is available from the portal. Only five- and thirty-minute averages are actually present in the data package, consistent with readme section ""DATA PACKAGE CONTENTS."" EML file implies the same in <purpose> tag.",
Elevation of groundwater,DP1.20100.001,Groundwater elevation in meters (m) above sea level defined by WGS84.,"Elevation of groundwater is measured using vented pressure transducers in up to 8 groundwater wells at wadeable stream, river, and lake sites. Measurements spatially represent a point and are made at 0.00334 Hz (every 5 minutes). Data are published as instantaneous five-minute readings and thirty-minute averages.",,"A groundwater well at Prairie Lake, ND (Domain 09).",Sensors are calibrated prior to installation at field sites and recalibrated on an annual basis. Water level sensors are only removed from their measurement location for quarterly maintenance and on an as-needed basis to ensure data quality. Groundwater clarity checks are conducted on a quarterly basis and wells are redeveloped when necessary.,,Pressure measurements and the reference elevation of the sensor are used to calculate groundwater elevation.  Instantaneous 5-minute readings and 30-minute averages are then calculated.,"Each measurement is accompanied by a final quality flag (gWatElevFinalQF, gWatElevFinalQFSciRvw, etc.). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flags are based on automated QA/QC tests, including range, step, and signal despiking tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level (groundwaterElevExpUncert), which comprises known and quantifiable uncertainties.","Latitude, longitude (referenceLatitude, referenceLongitude; °), elevation (referenceElevation; m), and sensor position relative to the reference elevation of the water level sensor (zOffset; m) are in the sensor positions file (...sensor_positions...csv). Use the HOR.VER component of the time series file name to link to the corresponding row in the HOR.VER column of the sensor positions file. HOR 301, 302, 303, 304, 305, 306, 307, and 308 correspond to different wells.",NA,,,,,
Albedo - spectrometer - flightline,DP2.30011.001,"The ratio of solar energy reflected off of the earth’s surface to total incident energy in the 0.4 to 2.5 micron wavelength range and modeled to best account for the many influencing factors such as reflectance angle/wavelength, solar angle, and scattering, absorbing, & re-radiating effects of atmospheric conditions. Albedo data values range from 0 to 1.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in NIS collections at 1 m spatial resolution and 5 nm spectral resolution in over 420 bands from 380 to 2500 nm. All AOP L2 data products are distributed in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",Auto-generated,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab calibration information. Each radiance flight line is then orthorectified using a digital surface models from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. ATCOR is also used to integrate the reflectance values across the albedo wavelength range and ratio against the modeled incident radiance for the flightline acquisition time and location, producing the final albedo values written out to GeoTiff files for individual flight lines.","Downloaded data include a quality report for individual flights, as well the culmination of flights over a site, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations made during flight collection and processing of data. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). Pixels missing data are coded -9999.",,NA,Auto-generated,Auto-generated,,,
Albedo - spectrometer - mosaic,DP3.30011.001,"The ratio of solar energy reflected off of the earth’s surface to total incident energy in the 0.4 to 2.5 micron wavelength range and modeled to best account for the many influencing factors such as reflectance angle/wavelength, solar angle, and scattering, absorbing, & re-radiating effects of atmospheric conditions. Albedo data values range from 0 to 1. All AOP L3 data are distributed in 1 km by 1 km tiles which include the Easting and Northing coordinates (in that order) of their southwest corner in their file names.","NEON AOP instruments, including the NEON Imaging Spectrometer (NIS), are flown at 1000 m above ground level at 100 knots in flight lines that have 37% overlap. This results in NIS collections at 1 m spatial resolution and 5 nm spectral resolution in over 420 bands from 380 to 2500 nm. All AOP data are acquired in individual flight lines (typically 600m wide by 5 to 20 km long). NEON sites are flown once per year with a target of 90% of maximum greenness or higher and at a minimum of 3 of every 4 years. Flight coverage is a minimum of 10 km by 10 km and covers both NEON tower and observational sampling sites. Aquatic sites, as well as those in Hawaii and Puerto Rico, are flown in the same fashion, but at reduced frequency.",,,"Calibration activities are conducted on the NIS every winter between flight seasons in the NEON AOP lab where it measures known radiance sources in a controlled environment. Calibration/validation flights are flown at the beginning and end of every flight season for positional and timing accuracy as well as measuring radiance and reflectance over well-characterized, homogenous targets. In each domain collected, an in-situ calibration is conducted where the NIS records radiance from a known portable mercury lamp positioned directly under the sensor. Finally, at the start and end of each flight line flown, a set of on-board calibrations are made. These calibration activities allow any variances in the spectral response of the focal plane to be characterized, recorded, and tracked.",Auto-generated,"Each NIS flight line is processed from raw L0 DN to L1 radiance using the lab calibration information. Each radiance flight line is then orthorectified using a digital surface models from the co-collected lidar data. The orthorectified radiance flight lines are then processed to directional surface reflectance using the atmospheric correction and modeling package ATCOR. ATCOR is also used to integrate the reflectance values across the albedo wavelength range and ratio against the modeled incident radiance for the flightline acquisition time and location, producing the final albedo values written out to GeoTiff files for individual flight lines. The flightline GeoTiff files at a given site are then merged and distributed in 1 km by 1 km tiles where pixels are selected from flightlines with the highest quality cloud conditions at collect and closest proximity to nadir.","Downloaded data include a quality report for individual flights, as well the culmination of flights over a site, describing cloud conditions, positioning errors, parameters used for atmospheric corrections, and other data quality considerations made during flight collection and processing of data. Flightlines are each assigned color-coded cloud cover quality flags (green <10%, yellow 10%-50%, red >50%). Pixels missing data are coded -9999.",,NA,Auto-generated,Auto-generated,,,
Aquatic plant bryophyte macroalgae clip harvest,DP1.20066.001,"Taxonomy, plant presence/absence, and ash-free dry mass (g m-2) from aquatic plants, bryophytes, and macroalgae.","Clip harvest data are collected from 10 locations at all aquatic sites during bout 2 of the biological and sediment chemistry bouts (mid-summer). In lakes and rivers, additional presence/absence data are collected from 10 points during bouts 1 and 3. Points in lakes and rivers use randomized point sampling, and plant samples are collected using a submerged rake along three-1.5 m tows. Clip harvest data are collected near permanent transects using a 0.25 m2 (or 0.01 m2) quadrat. In wadeable streams, five of these collections are in the dominant habitat type and five are from the sub-dominant habitat type spaced >10m apart.",,,,,NA,"Data quality is checked at multiple points from time of data entry to the time it is available on the NEON data portal. Dropdown options and format constraints are used to ensure data are entered into the mobile application accurately across domains. Flagged data are denoted by ""dataQF"" signifying data was recorded using paper rather than digital data entry. Two external taxonomists cross check ten percent of all samples to ensure positive taxonomic identification, these samples are denoted by ""qcTaxonomyStatus."" All data are reviewed before being loaded to the data portal. Major errors or revisions are readily available to users in the Change Log section of the 'readme' document that accompanies all data downloads.",,See DP1.20066.001 tables tab,,,"Overall it was well condensed and not overwheling to follow. My only comments would be that figures 3 and 4 are not easily followed even knowing the structure of the Fulcrum app. Looking at that as a data user might be confusing and not totally helpful. For instance, the User Guide mentions multiple times about the use of tablet being better than paper data sheets due to dropdown options but that's not clear in these figures. ",,
"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams",DP1.20072.001,Relative abundance (%) and taxonomic classification (to lowest possible taxonimic level),"Sampling is conducted three times per year during the biology bout windows (spring, summer, and fall) at each of the 10 permanently-marked plant transects along the reach.  A minimum of 20 points along the wetted width of each transect is sampled using a view bucket. If target taxa is present each of the  groups present is recorded. If no target taxa are present then the substratum of the location is recorded by size class. Samples will be collected for taxonomic analysis by an external facility at each transect if they cannot be identified in the field. ",,,NA,,NA,"A technician who was not the original data recorder will check that sample IDs and barcodes generated by the mobile application(s) match the sample IDs and barcodes on the sample containers. Additionally site ID, collection date, sampling protocol version, and AFDM measurements will also be checked. ",Percent cover calculation from Bowden et al. 2006. Divide the number of observed points in the transect that match a particular taxonomic class type (Ni) by the total number of observed points on the transect (Nt). Multiply the dividend by 100.,See DP1.20072.001 Tables Tab,,,,,
3D wind attitude and motion reference,DP1.00010.001,Measurement of 3D anemometer attitude and motion.,"The Attitude and Motion Reference System (AMRS) uses gyroscopes in combination with accelerometer and magnetometer data to provide 3D orientation measurements. The AMRS is mounted on top of the 3D sonic anemometer at the tower top and helps assess effects of boom vibration and movement for processing of Eddy Covariance Turbulent Exchange gas flux data. This AMRS sensor is configured to use forward-left-up body coordinate system, and data is reported in east-north-up reference coordinate system. Raw data from the AMRS sensor are recorded at a rate of 40Hz, and are used to calculate the summarized data published to the portal at 1-min and 30-min time resolution.",,Left:                                                           Right: Location of AMRS Level 1 data products (1- and 30- min summarized data) in the HDF5 file structure,AMRS is calibrated prior to permanent installation. Position is monitored by field staff and adjusted as needed. ,,,"Each measurement is accompanied by a final quality flag (finalQF). NEON recommends only using data where the corresponding final quality flag is 0. Data with a final quality flag of 1 are potentially inaccurate and should only be used with caution. The final quality flag is based on automated QA/QC tests, including range, step, and spike tests, as well as a manually set science review flag if applicable. Each measurement is accompanied by an estimate of measurement uncertainty, expressed at the 95% confidence level, which comprises known and quantifiable uncertainties. ",,,,,,HDF5 file structure confusing to navigate at first. ,
