"Table1","Table2","JoinByTable1","JoinByTable2"
"wdp_collection","wdp_collectionChem","chemSubsampleID","sampleID"
"wdp_collection","wdp_chemLab","chemSubsampleID","chemSubsampleID"
"wdp_collection","wdi_collection","sampleID","sampleID"
"wdp_chemLab","wdp_collectionChem","chemSubsampleID","sampleID"
"wdp_sensor","Any other table","Join not recommended: wdp_sensor contains records of collection assembly status every 10 seconds. Collections are made every two weeks.","Join not recommended: wdp_sensor contains records of collection assembly status every 10 seconds. Collections are made every two weeks."
"wdi_collection","wdp_collection","sampleID","sampleID"
"wdi_collection","wdi_collectionIso","sampleID","sampleID"
"wdi_collection","wdi_collectionIsoTest","sampleID","sampleID"
"wdi_collection","wdi_isoPerSample","sampleID","sampleID"
"wdi_collectionIso","wdi_collectionIsoTest","sampleID","sampleID"
"wdi_collectionIso","wdi_isoPerSample","sampleID","sampleID"
"wdi_collectionIsoTest","wdi_isoPerSample","sampleID","sampleID"
"wdp_sensor","Any other table","Join not recommended: wdp_sensor contains records of collection assembly status every 10 seconds. Collections are made every two weeks.","Join not recommended: wdp_sensor contains records of collection assembly status every 10 seconds. Collections are made every two weeks."
"wdi_collection","asi_externalLabSummaryData","Not fully automatable: Match by laboratoryName, analyte, method, and analysisDate","Not fully automatable: Match by laboratoryName, analyte, method, and analysisDate"
"mgp_permegapit","mgp_perhorizon","pitID","pitID"
"mgp_perhorizon","mgp_perbulksample","horizonID","horizonID"
"mgc_perhorizon","mgc_perbiogeosample","horizonID","horizonID"
"mgc_perhorizon","mgc_perarchivesample","horizonID","horizonID"
"mgp_perarchivesample","mgp_perbiogeosample","horizonID","horizonID"
"mgp_perarchivesample","mgp_perbulksample","horizonID","horizonID"
"mgp_perarchivesample","mgp_perhorizon","horizonID","horizonID"
"mgp_perarchivesample","mgp_permegapit","pitID","pitID"
"mgp_perbiogeosample","mgp_perbulksample","horizonID","horizonID"
"mgp_perbiogeosample","mgp_perhorizon","horizonID","horizonID"
"mgp_perbiogeosample","mgp_permegapit","pitID","pitID"
"mgp_perbulksample","mgp_permegapit","pitID","pitID"
"dpm_field","dpm_filterBlank","Join not recommended: dpm_filterBlank is for sample request purposes. These samples are not sent to the field or analyzed by the lab.","Join not recommended: dpm_filterBlank is for sample request purposes. These samples are not sent to the field or analyzed by the lab."
"dpm_field","dpm_lab","sampleID","sampleID"
"dpm_lab","dpm_filterBlank","Join not recommended: dpm_filterBlank is for sample request purposes. These samples are not sent to the field or analyzed by the lab.","Join not recommended: dpm_filterBlank is for sample request purposes. These samples are not sent to the field or analyzed by the lab."
"dpm_sensor","Any other table","Join not recommended: dpm_sensor contains records of collection assembly status every 10 seconds. Collections are made every two weeks.","Join not recommended: dpm_sensor contains records of collection assembly status every 10 seconds. Collections are made every two weeks."
"brd_perpoint","brd_countdata","eventID, pointID","eventID, pointID"
"brd_perpoint","brd_references","siteID, endDate","siteID, endDate"
"brd_countdata","brd_references","Join not recommended: References apply to entire observation period. Connect references to observations via siteID and dates.","Join not recommended: References apply to entire observation period. Connect references to observations via siteID and dates."
"brd_personnel","Any other table","Join not recommended: Test scores are annual. To find relevant scores, measuredBy and technicianID fields match for the same observer, and test scores are relevant to data collected during the year of the test(s).","Join not recommended: Test scores are annual. To find relevant scores, measuredBy and technicianID fields match for the same observer, and test scores are relevant to data collected during the year of the test(s)."
"cdw_densitylog","cdw_densitydisk","sampleID","sampleID"
"dhp_perplot","dhp_perimagefile","sampleID","sampleID"
"bet_fielddata","bet_sorting","sampleID","sampleID"
"bet_sorting","bet_parataxonomistID","subsampleID","subsampleID"
"bet_sorting","bet_archivepooling","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList"
"bet_parataxonomistID","bet_archivepooling","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList"
"bet_parataxonomistID","bet_expertTaxonomistIDProcessed","individualID","individualID"
"bet_parataxonomistID","bet_expertTaxonomistIDRaw","individualID","individualID"
"bet_sorting","bet_identificationHistory","identificationHistoryID","identificationHistoryID"
"bet_parataxonomistID","bet_identificationHistory","identificationHistoryID","identificationHistoryID"
"bet_expertTaxonomistIDProcessed","bet_identificationHistory","identificationHistoryID","identificationHistoryID"
"bet_expertTaxonomistIDRaw","bet_identificationHistory","identificationHistoryID","identificationHistoryID"
"bet_archivepooling","bet_expertTaxonomistIDProcessed","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList, and multiple individualIDs are in each subsampleID","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList, and multiple individualIDs are in each subsampleID"
"bet_archivepooling","bet_expertTaxonomistIDRaw","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList, and multiple individualIDs are in each subsampleID","Not fully automatable: multiple subsampleIDs are pooled into subsampleIDList, and multiple individualIDs are in each subsampleID"
"bet_archivepooling","bet_fielddata","Requires intermediate table: Join via bet_sorting table using sampleID, subsampleID, and subsampleIDList. See entries for bet_sorting.","Requires intermediate table: Join via bet_sorting table using sampleID, subsampleID, and subsampleIDList. See entries for bet_sorting."
"bet_expertTaxonomistIDProcessed","bet_expertTaxonomistIDRaw","individualID","individualID"
"bet_expertTaxonomistIDProcessed","bet_fielddata","Requires intermediate table: Join via bet_sorting and bet_parataxonomistID tables.","Requires intermediate table: Join via bet_sorting and bet_parataxonomistID tables."
"bet_expertTaxonomistIDProcessed","bet_sorting","Requires intermediate table: Join via the bet_parataxonomistID table.","Requires intermediate table: Join via the bet_parataxonomistID table."
"bet_expertTaxonomistIDRaw","bet_fielddata","Requires intermediate table: Join via bet_sorting and bet_parataxonomistID tables.","Requires intermediate table: Join via bet_sorting and bet_parataxonomistID tables."
"bet_expertTaxonomistIDRaw","bet_sorting","Requires intermediate table: Join via the bet_parataxonomistID table.","Requires intermediate table: Join via the bet_parataxonomistID table."
"bet_fielddata","bet_parataxonomistID","Requires intermediate table: Join via the bet_sorting table.","Requires intermediate table: Join via the bet_sorting table."
"hbp_perbout","hbp_massdata","sampleID","sampleID"
"cfc_fieldData","cfc_chemistrySubsampling","sampleID","sampleID"
"cfc_fieldData","cfc_chlorophyll","sampleID","sampleID"
"cfc_fieldData","cfc_carbonNitrogen","sampleID","sampleID"
"cfc_fieldData","cfc_elements","sampleID","sampleID"
"cfc_fieldData","cfc_lignin","sampleID","sampleID"
"cfc_fieldData","cfc_LMA","sampleID","sampleID"
"cfc_fieldData","vst_mappingandtagging","individualID","individualID"
"cfc_carbonNitrogen","cfc_chemistrySubsampling","sampleID","sampleID"
"cfc_carbonNitrogen","cfc_chlorophyll","sampleID","sampleID"
"cfc_carbonNitrogen","cfc_elements","sampleID","sampleID"
